[2024-12-05T19:54:08.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T19:54:08.176+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T19:54:08.189+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-12-05 19:54:05.651228+00:00
[2024-12-05T19:54:08.192+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=69) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T19:54:08.193+0000] {standard_task_runner.py:72} INFO - Started process 70 to run task
[2024-12-05T19:54:08.195+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'manual__2024-12-05T19:54:05.651228+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppidfg0ej']
[2024-12-05T19:54:08.196+0000] {standard_task_runner.py:105} INFO - Job 3: Subtask wget
[2024-12-05T19:54:08.221+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [running]> on host cf87bc668ac5
[2024-12-05T19:54:08.261+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T19:54:05.651228+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T19:54:05.651228+00:00'
[2024-12-05T19:54:08.261+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T19:54:08.290+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-05T19:54:08.291+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet -O /opt/***/output.parquet']
[2024-12-05T19:54:08.299+0000] {subprocess.py:99} INFO - Output:
[2024-12-05T19:54:08.310+0000] {subprocess.py:106} INFO - --2024-12-05 19:54:08--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet
[2024-12-05T19:54:08.406+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.84, 52.84.160.116, 52.84.160.213, ...
[2024-12-05T19:54:08.428+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.84|:443... connected.
[2024-12-05T19:54:08.510+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-05T19:54:08.510+0000] {subprocess.py:106} INFO - Length: 21686067 (21M) [application/x-www-form-urlencoded]
[2024-12-05T19:54:08.510+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output.parquet’
[2024-12-05T19:54:08.512+0000] {subprocess.py:106} INFO - 
[2024-12-05T19:54:08.532+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 2.14M 10s
[2024-12-05T19:54:08.543+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 4.55M 7s
[2024-12-05T19:54:08.556+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.83M 6s
[2024-12-05T19:54:08.563+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 6.74M 6s
[2024-12-05T19:54:08.569+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 8.09M 5s
[2024-12-05T19:54:08.575+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 8.98M 5s
[2024-12-05T19:54:08.580+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 8.58M 4s
[2024-12-05T19:54:08.583+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 15.5M 4s
[2024-12-05T19:54:08.587+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  2% 12.4M 4s
[2024-12-05T19:54:08.590+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  2% 18.3M 3s
[2024-12-05T19:54:08.593+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  2% 15.7M 3s
[2024-12-05T19:54:08.596+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 17.9M 3s
[2024-12-05T19:54:08.598+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  3% 26.5M 3s
[2024-12-05T19:54:08.601+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  3% 22.3M 3s
[2024-12-05T19:54:08.602+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  3% 19.4M 3s
[2024-12-05T19:54:08.605+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  3% 21.3M 2s
[2024-12-05T19:54:08.606+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  4% 33.6M 2s
[2024-12-05T19:54:08.607+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  4% 40.4M 2s
[2024-12-05T19:54:08.609+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  4% 26.9M 2s
[2024-12-05T19:54:08.611+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  4% 32.3M 2s
[2024-12-05T19:54:08.612+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  4% 44.9M 2s
[2024-12-05T19:54:08.613+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5% 29.3M 2s
[2024-12-05T19:54:08.615+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 30.8M 2s
[2024-12-05T19:54:08.616+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 33.0M 2s
[2024-12-05T19:54:08.618+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 36.9M 2s
[2024-12-05T19:54:08.619+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 56.7M 2s
[2024-12-05T19:54:08.620+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6% 33.9M 2s
[2024-12-05T19:54:08.621+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  6% 92.5M 2s
[2024-12-05T19:54:08.622+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  6% 57.8M 2s
[2024-12-05T19:54:08.623+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  7% 50.0M 1s
[2024-12-05T19:54:08.624+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  7% 37.0M 1s
[2024-12-05T19:54:08.625+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  7% 34.4M 1s
[2024-12-05T19:54:08.626+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  7% 91.4M 1s
[2024-12-05T19:54:08.627+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  8% 46.1M 1s
[2024-12-05T19:54:08.627+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  8% 76.3M 1s
[2024-12-05T19:54:08.629+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  8% 39.6M 1s
[2024-12-05T19:54:08.630+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  8% 76.9M 1s
[2024-12-05T19:54:08.631+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  8% 68.8M 1s
[2024-12-05T19:54:08.631+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  9% 98.9M 1s
[2024-12-05T19:54:08.632+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  9% 70.4M 1s
[2024-12-05T19:54:08.632+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  9% 47.8M 1s
[2024-12-05T19:54:08.634+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  9% 39.3M 1s
[2024-12-05T19:54:08.634+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 10% 68.0M 1s
[2024-12-05T19:54:08.635+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 10%  111M 1s
[2024-12-05T19:54:08.637+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 10% 61.0M 1s
[2024-12-05T19:54:08.637+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 10% 83.5M 1s
[2024-12-05T19:54:08.639+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 11% 55.8M 1s
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11% 53.6M 1s
