[2024-12-05T20:39:28.802+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.823+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.828+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.830+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.842+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-05T20:39:28.846+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=751) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.848+0000] {standard_task_runner.py:72} INFO - Started process 759 to run task
[2024-12-05T20:39:28.849+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '22', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpna1v0k78']
[2024-12-05T20:39:28.850+0000] {standard_task_runner.py:105} INFO - Job 22: Subtask wget
[2024-12-05T20:39:28.894+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:28.945+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-01-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-01-02T06:00:00+00:00'
[2024-12-05T20:39:28.946+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:39:28.955+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-05T20:39:28.956+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet -O /opt/***/output_2021-01.parquet']
[2024-12-05T20:39:28.961+0000] {subprocess.py:99} INFO - Output:
[2024-12-05T20:39:28.968+0000] {subprocess.py:106} INFO - --2024-12-05 20:39:28--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet
[2024-12-05T20:39:29.029+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.85.39.153, 52.85.39.117, 52.85.39.65, ...
[2024-12-05T20:39:29.046+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.85.39.153|:443... connected.
[2024-12-05T20:39:29.509+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-05T20:39:29.510+0000] {subprocess.py:106} INFO - Length: 21686067 (21M) [application/x-www-form-urlencoded]
[2024-12-05T20:39:29.512+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-01.parquet’
[2024-12-05T20:39:29.516+0000] {subprocess.py:106} INFO - 
[2024-12-05T20:39:29.656+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  717K 29s
[2024-12-05T20:39:29.716+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  365K 44s
[2024-12-05T20:39:29.718+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 20.7M 29s
[2024-12-05T20:39:29.810+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0%  542K 32s
[2024-12-05T20:39:29.812+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 66.9M 25s
[2024-12-05T20:39:29.813+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 48.7M 21s
[2024-12-05T20:39:29.872+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1%  841K 22s
[2024-12-05T20:39:29.878+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 7.56M 19s
[2024-12-05T20:39:29.886+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  2% 5.89M 17s
[2024-12-05T20:39:29.916+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  2% 2.05M 17s
[2024-12-05T20:39:29.948+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  2% 1.27M 16s
[2024-12-05T20:39:29.981+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 1.52M 16s
[2024-12-05T20:39:29.982+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  3% 44.8M 15s
[2024-12-05T20:39:30.036+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  3%  931K 15s
[2024-12-05T20:39:30.038+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  3% 56.3M 14s
[2024-12-05T20:39:30.043+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  3% 7.49M 14s
[2024-12-05T20:39:30.048+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  4% 9.28M 13s
[2024-12-05T20:39:30.080+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  4% 1.55M 13s
[2024-12-05T20:39:30.099+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  4% 5.62M 12s
[2024-12-05T20:39:30.116+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  4% 1.76M 12s
[2024-12-05T20:39:30.119+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  4% 17.3M 12s
[2024-12-05T20:39:30.124+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5% 10.2M 11s
[2024-12-05T20:39:30.125+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 34.5M 11s
[2024-12-05T20:39:30.126+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 49.9M 10s
[2024-12-05T20:39:30.136+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 4.79M 10s
[2024-12-05T20:39:30.146+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 4.83M 10s
[2024-12-05T20:39:30.156+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6% 5.15M 9s
