[2024-12-05T20:40:37.081+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.093+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.099+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.100+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.111+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-05T20:40:37.117+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=807) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.118+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp0x3xtftx']
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:72} INFO - Started process 821 to run task
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask wget
[2024-12-05T20:40:37.150+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.196+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-01-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-01-02T06:00:00+00:00'
[2024-12-05T20:40:37.197+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:40:37.212+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-05T20:40:37.214+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet -O /opt/***/output_2021-01.parquet']
[2024-12-05T20:40:37.221+0000] {subprocess.py:99} INFO - Output:
[2024-12-05T20:40:37.227+0000] {subprocess.py:106} INFO - --2024-12-05 20:40:37--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet
[2024-12-05T20:40:37.240+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.85.39.153, 52.85.39.117, 52.85.39.65, ...
[2024-12-05T20:40:37.254+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.85.39.153|:443... connected.
[2024-12-05T20:40:37.313+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-05T20:40:37.313+0000] {subprocess.py:106} INFO - Length: 21686067 (21M) [application/x-www-form-urlencoded]
[2024-12-05T20:40:37.314+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-01.parquet’
[2024-12-05T20:40:37.314+0000] {subprocess.py:106} INFO - 
[2024-12-05T20:40:37.329+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 3.02M 7s
[2024-12-05T20:40:37.333+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 11.1M 4s
[2024-12-05T20:40:37.343+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 5.15M 4s
[2024-12-05T20:40:37.348+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 9.05M 4s
[2024-12-05T20:40:37.352+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 12.1M 3s
[2024-12-05T20:40:37.356+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 14.7M 3s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 12.3M 3s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 23.7M 3s
[2024-12-05T20:40:37.397+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  2% 1.38M 4s
[2024-12-05T20:40:37.398+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  2% 51.8M 4s
[2024-12-05T20:40:37.402+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  2% 62.0M 3s
[2024-12-05T20:40:37.404+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 35.0M 3s
[2024-12-05T20:40:37.404+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  3% 71.8M 3s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  3% 48.1M 3s
[2024-12-05T20:40:37.409+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  3% 6.24M 3s
[2024-12-05T20:40:37.414+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  3% 49.1M 2s
[2024-12-05T20:40:37.429+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  4% 2.66M 3s
[2024-12-05T20:40:37.429+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  4%  307M 3s
[2024-12-05T20:40:37.435+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  4%  182M 2s
[2024-12-05T20:40:37.454+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  4% 1.97M 3s
[2024-12-05T20:40:37.457+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  4% 16.9M 3s
[2024-12-05T20:40:37.459+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5% 30.2M 3s
[2024-12-05T20:40:37.461+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 22.4M 3s
[2024-12-05T20:40:37.461+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 73.5M 2s
[2024-12-05T20:40:37.465+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 22.1M 2s
[2024-12-05T20:40:37.469+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 18.7M 2s
[2024-12-05T20:40:37.470+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6% 49.0M 2s
[2024-12-05T20:40:37.471+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  6% 14.7M 2s
[2024-12-05T20:40:37.474+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  6% 54.3M 2s
[2024-12-05T20:40:37.475+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  7% 33.1M 2s
[2024-12-05T20:40:37.476+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  7%  128M 2s
[2024-12-05T20:40:37.477+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  7% 27.4M 2s
[2024-12-05T20:40:37.477+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  7% 46.9M 2s
[2024-12-05T20:40:37.488+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  8% 3.93M 2s
[2024-12-05T20:40:37.489+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  8%  189M 2s
[2024-12-05T20:40:37.490+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  8% 85.3M 2s
[2024-12-05T20:40:37.499+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  8% 5.07M 2s
[2024-12-05T20:40:37.502+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  8% 14.6M 2s
[2024-12-05T20:40:37.503+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  9% 51.0M 2s
[2024-12-05T20:40:37.504+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  9%  216M 2s
[2024-12-05T20:40:37.507+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  9% 14.6M 2s
[2024-12-05T20:40:37.507+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  9%  151M 2s
[2024-12-05T20:40:37.520+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 10% 3.97M 2s
[2024-12-05T20:40:37.525+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 10% 46.3M 2s
[2024-12-05T20:40:37.547+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 10% 1.84M 2s
[2024-12-05T20:40:37.548+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 10% 55.4M 2s
[2024-12-05T20:40:37.549+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 11%  117M 2s
[2024-12-05T20:40:37.556+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11% 6.59M 2s
[2024-12-05T20:40:37.563+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11% 6.85M 2s
[2024-12-05T20:40:37.564+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 41.5M 2s
[2024-12-05T20:40:37.569+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 12% 9.96M 2s
