[2024-12-05T20:40:37.058+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.074+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.080+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.091+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:40:37.095+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=811) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.097+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpq_hqpw5d']
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask wget
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:72} INFO - Started process 814 to run task
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.182+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-03-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-03-02T06:00:00+00:00'
[2024-12-05T20:40:37.183+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:40:37.192+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-05T20:40:37.194+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet -O /opt/***/output_2021-03.parquet']
[2024-12-05T20:40:37.200+0000] {subprocess.py:99} INFO - Output:
[2024-12-05T20:40:37.214+0000] {subprocess.py:106} INFO - --2024-12-05 20:40:37--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet
[2024-12-05T20:40:37.234+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.85.39.153, 52.85.39.117, 52.85.39.65, ...
[2024-12-05T20:40:37.253+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.85.39.153|:443... connected.
[2024-12-05T20:40:37.301+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-05T20:40:37.302+0000] {subprocess.py:106} INFO - Length: 30007852 (29M) [application/x-www-form-urlencoded]
[2024-12-05T20:40:37.303+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-03.parquet’
[2024-12-05T20:40:37.303+0000] {subprocess.py:106} INFO - 
[2024-12-05T20:40:37.317+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 3.09M 9s
[2024-12-05T20:40:37.323+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 8.02M 6s
[2024-12-05T20:40:37.332+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 5.35M 6s
[2024-12-05T20:40:37.337+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 9.92M 5s
[2024-12-05T20:40:37.341+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 12.4M 5s
[2024-12-05T20:40:37.345+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 12.6M 4s
[2024-12-05T20:40:37.349+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 13.7M 4s
[2024-12-05T20:40:37.351+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 21.3M 4s
[2024-12-05T20:40:37.354+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 18.4M 3s
[2024-12-05T20:40:37.358+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 12.6M 3s
[2024-12-05T20:40:37.362+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 24.9M 3s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 33.4M 3s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  2% 29.5M 3s
[2024-12-05T20:40:37.395+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  2% 1.52M 4s
[2024-12-05T20:40:37.396+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  2%  205M 4s
[2024-12-05T20:40:37.397+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2%  103M 3s
[2024-12-05T20:40:37.398+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2%  227M 3s
[2024-12-05T20:40:37.402+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  3%  343M 3s
[2024-12-05T20:40:37.404+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  3% 29.8M 3s
[2024-12-05T20:40:37.404+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  3% 33.9M 3s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  3% 49.8M 3s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 74.3M 3s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 59.0M 2s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  4%  162M 2s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  4%  203M 2s
[2024-12-05T20:40:37.409+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  4% 7.15M 2s
[2024-12-05T20:40:37.414+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 61.7M 2s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 42.0M 2s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4% 35.2M 2s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  5% 79.2M 2s
[2024-12-05T20:40:37.416+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  5% 68.4M 2s
[2024-12-05T20:40:37.448+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  5% 1.43M 3s
[2024-12-05T20:40:37.452+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  5% 18.7M 2s
[2024-12-05T20:40:37.452+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5%  147M 2s
[2024-12-05T20:40:37.455+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5% 90.5M 2s
[2024-12-05T20:40:37.455+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  6% 61.9M 2s
[2024-12-05T20:40:37.456+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  6%  230M 2s
[2024-12-05T20:40:37.457+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  6% 43.4M 2s
[2024-12-05T20:40:37.459+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  6% 19.9M 2s
[2024-12-05T20:40:37.459+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6% 29.8M 2s
[2024-12-05T20:40:37.460+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 28.1M 2s
[2024-12-05T20:40:37.461+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  7% 28.6M 2s
[2024-12-05T20:40:37.463+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  7% 18.5M 2s
[2024-12-05T20:40:37.466+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  7% 20.3M 2s
[2024-12-05T20:40:37.469+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  7% 41.6M 2s
[2024-12-05T20:40:37.470+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  7% 72.8M 2s
[2024-12-05T20:40:37.473+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  8% 29.9M 2s
[2024-12-05T20:40:37.475+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  8% 17.9M 2s
[2024-12-05T20:40:37.476+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  8% 60.4M 2s
[2024-12-05T20:40:37.476+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  8% 83.6M 2s
[2024-12-05T20:40:37.477+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  8%  161M 2s
[2024-12-05T20:40:37.478+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  8% 29.3M 2s
[2024-12-05T20:40:37.478+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  9%  115M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  9% 65.6M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  9%  112M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  9%  236M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  9%  159M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  9%  321M 2s
[2024-12-05T20:40:37.481+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 10%  222M 2s
[2024-12-05T20:40:37.481+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 10%  298M 2s
[2024-12-05T20:40:37.484+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 10% 8.46M 2s
[2024-12-05T20:40:37.487+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 10% 13.1M 2s
[2024-12-05T20:40:37.489+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 10%  185M 2s
[2024-12-05T20:40:37.490+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 10% 63.4M 2s
[2024-12-05T20:40:37.490+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 11%  138M 2s
[2024-12-05T20:40:37.490+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 11% 94.5M 1s
[2024-12-05T20:40:37.491+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 11%  276M 1s
[2024-12-05T20:40:37.495+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 11% 9.02M 1s
[2024-12-05T20:40:37.496+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 11% 58.9M 1s
