[2024-12-05T20:40:37.055+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.074+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.081+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.081+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.090+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-05-02 06:00:00+00:00
[2024-12-05T20:40:37.095+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=808) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.097+0000] {standard_task_runner.py:72} INFO - Started process 813 to run task
[2024-12-05T20:40:37.096+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-05-02T06:00:00+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp1x2uital']
[2024-12-05T20:40:37.100+0000] {standard_task_runner.py:105} INFO - Job 36: Subtask wget
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.182+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-05-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-05-02T06:00:00+00:00'
[2024-12-05T20:40:37.183+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:40:37.192+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-05T20:40:37.193+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet -O /opt/***/output_2021-05.parquet']
[2024-12-05T20:40:37.199+0000] {subprocess.py:99} INFO - Output:
[2024-12-05T20:40:37.214+0000] {subprocess.py:106} INFO - --2024-12-05 20:40:37--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet
[2024-12-05T20:40:37.234+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.85.39.153, 52.85.39.117, 52.85.39.65, ...
[2024-12-05T20:40:37.251+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.85.39.153|:443... connected.
[2024-12-05T20:40:37.301+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-05T20:40:37.301+0000] {subprocess.py:106} INFO - Length: 38743682 (37M) [application/x-www-form-urlencoded]
[2024-12-05T20:40:37.302+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-05.parquet’
[2024-12-05T20:40:37.302+0000] {subprocess.py:106} INFO - 
[2024-12-05T20:40:37.316+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 3.12M 12s
[2024-12-05T20:40:37.323+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 7.67M 8s
[2024-12-05T20:40:37.331+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 5.50M 8s
[2024-12-05T20:40:37.336+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 10.6M 7s
[2024-12-05T20:40:37.340+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 12.0M 6s
[2024-12-05T20:40:37.345+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 10.4M 6s
[2024-12-05T20:40:37.347+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 20.5M 5s
[2024-12-05T20:40:37.350+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 19.6M 5s
[2024-12-05T20:40:37.352+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 21.7M 4s
[2024-12-05T20:40:37.355+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 17.1M 4s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 29.1M 4s
[2024-12-05T20:40:37.363+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 13.1M 4s
[2024-12-05T20:40:37.364+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 46.4M 3s
[2024-12-05T20:40:37.364+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 29.5M 3s
[2024-12-05T20:40:37.399+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 1.37M 5s
[2024-12-05T20:40:37.403+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 49.6M 5s
[2024-12-05T20:40:37.404+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 57.9M 4s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  2% 68.1M 4s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 42.7M 4s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2%  243M 4s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 91.7M 4s
[2024-12-05T20:40:37.405+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 98.2M 3s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3%  165M 3s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3%  212M 3s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3%  171M 3s
[2024-12-05T20:40:37.406+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3%  210M 3s
[2024-12-05T20:40:37.409+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 12.0M 3s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 18.0M 3s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3% 47.1M 3s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 62.1M 3s
[2024-12-05T20:40:37.416+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4% 99.4M 3s
[2024-12-05T20:40:37.417+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 93.1M 3s
[2024-12-05T20:40:37.418+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4%  102M 2s
[2024-12-05T20:40:37.418+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4%  206M 2s
[2024-12-05T20:40:37.441+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 1.82M 3s
[2024-12-05T20:40:37.445+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4% 13.7M 3s
[2024-12-05T20:40:37.449+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 34.9M 3s
[2024-12-05T20:40:37.454+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 35.9M 3s
[2024-12-05T20:40:37.456+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 42.7M 3s
[2024-12-05T20:40:37.457+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  5% 30.5M 3s
[2024-12-05T20:40:37.460+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  5% 39.5M 3s
[2024-12-05T20:40:37.471+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  5%  188M 3s
[2024-12-05T20:40:37.475+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5% 44.4M 3s
[2024-12-05T20:40:37.478+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5%  104M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5% 18.3M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 23.7M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  6% 17.3M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  6% 20.4M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  6% 14.3M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  6% 65.4M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6% 19.6M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6%  109M 2s
