[2024-12-06T20:30:23.650+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:23.667+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:23.674+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:23.675+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:23.946+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-06T20:30:23.954+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4143) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:23.957+0000] {standard_task_runner.py:72} INFO - Started process 4148 to run task
[2024-12-06T20:30:23.957+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '86', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpvdu44ex7']
[2024-12-06T20:30:23.960+0000] {standard_task_runner.py:105} INFO - Job 86: Subtask wget
[2024-12-06T20:30:24.008+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:24.068+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-01-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-01-02T06:00:00+00:00'
[2024-12-06T20:30:24.069+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:24.083+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:24.084+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet -O /opt/***/output_2021-01.parquet']
[2024-12-06T20:30:24.093+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:24.097+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:24--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet
[2024-12-06T20:30:24.161+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:24.183+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:24.738+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:24.766+0000] {subprocess.py:106} INFO - Length: 21686067 (21M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:24.784+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-01.parquet’
[2024-12-06T20:30:24.796+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:24.930+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  277K 76s
[2024-12-06T20:30:24.956+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 1.34M 46s
[2024-12-06T20:30:24.996+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 1.57M 35s
[2024-12-06T20:30:25.047+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 1.04M 31s
[2024-12-06T20:30:25.117+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1%  616K 31s
[2024-12-06T20:30:25.127+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 96.2M 26s
[2024-12-06T20:30:25.151+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1%  114M 22s
[2024-12-06T20:30:25.169+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 3.93M 20s
[2024-12-06T20:30:25.180+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  2% 4.06M 18s
[2024-12-06T20:30:25.216+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  2% 8.70M 17s
[2024-12-06T20:30:25.229+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  2% 9.82M 15s
