[2024-12-06T17:46:09.744+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:09.758+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:09.764+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:09.765+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:09.772+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-02-02 06:00:00+00:00
[2024-12-06T17:46:09.779+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:09.783+0000] {standard_task_runner.py:72} INFO - Started process 2091 to run task
[2024-12-06T17:46:09.783+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-02-02T06:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppdqi9ub_']
[2024-12-06T17:46:09.792+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask wget
[2024-12-06T17:46:09.822+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:10.405+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-02-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-02-02T06:00:00+00:00'
[2024-12-06T17:46:10.406+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:10.417+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:10.418+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-02.parquet -O /opt/***/output_2021-02.parquet']
[2024-12-06T17:46:10.430+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:10.446+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:10--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-02.parquet
[2024-12-06T17:46:10.543+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:10.556+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:10.602+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:10.604+0000] {subprocess.py:106} INFO - Length: 21777258 (21M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:10.605+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-02.parquet’
[2024-12-06T17:46:10.605+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:10.615+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 3.73M 6s
[2024-12-06T17:46:10.618+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 19.5M 3s
[2024-12-06T17:46:10.625+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 6.67M 3s
[2024-12-06T17:46:10.633+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 6.69M 3s
[2024-12-06T17:46:10.638+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 16.2M 3s
[2024-12-06T17:46:10.648+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 9.88M 3s
[2024-12-06T17:46:10.654+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 3.74M 3s
[2024-12-06T17:46:10.655+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 74.8M 3s
[2024-12-06T17:46:10.657+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  2% 40.8M 2s
[2024-12-06T17:46:10.671+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  2%  231M 2s
[2024-12-06T17:46:10.672+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  2%  124M 2s
[2024-12-06T17:46:10.672+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 3.85M 2s
[2024-12-06T17:46:10.672+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  3% 31.4M 2s
[2024-12-06T17:46:10.673+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  3%  120M 2s
[2024-12-06T17:46:10.675+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  3%  107M 2s
[2024-12-06T17:46:10.681+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  3%  173M 2s
[2024-12-06T17:46:10.693+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  3%  242M 2s
[2024-12-06T17:46:10.701+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  4%  116M 2s
