[2024-12-06T20:30:23.661+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:23.674+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:23.682+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:23.683+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:23.691+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-06T20:30:23.697+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4141) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:23.699+0000] {standard_task_runner.py:72} INFO - Started process 4145 to run task
[2024-12-06T20:30:23.698+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp877v_ebg']
[2024-12-06T20:30:23.701+0000] {standard_task_runner.py:105} INFO - Job 87: Subtask wget
[2024-12-06T20:30:23.753+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:24.085+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-03-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-03-02T06:00:00+00:00'
[2024-12-06T20:30:24.086+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:24.095+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:24.096+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet -O /opt/***/output_2021-03.parquet']
[2024-12-06T20:30:24.102+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:24.104+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:24--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet
[2024-12-06T20:30:24.161+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:24.183+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:24.268+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:24.269+0000] {subprocess.py:106} INFO - Length: 30007852 (29M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:24.269+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-03.parquet’
[2024-12-06T20:30:24.269+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:24.304+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 1.42M 20s
[2024-12-06T20:30:24.306+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 15.0M 11s
[2024-12-06T20:30:24.322+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.10M 10s
[2024-12-06T20:30:24.328+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 7.31M 9s
[2024-12-06T20:30:24.334+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 8.64M 8s
[2024-12-06T20:30:24.338+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  1% 12.3M 7s
[2024-12-06T20:30:24.346+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 5.87M 6s
[2024-12-06T20:30:24.348+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 70.2M 6s
[2024-12-06T20:30:24.357+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 4.97M 6s
[2024-12-06T20:30:24.358+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 31.4M 5s
[2024-12-06T20:30:24.359+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 72.7M 5s
[2024-12-06T20:30:24.363+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  2% 11.2M 5s
[2024-12-06T20:30:24.365+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  2% 30.6M 4s
[2024-12-06T20:30:24.372+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  2% 8.88M 4s
[2024-12-06T20:30:24.377+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  2% 7.25M 4s
[2024-12-06T20:30:24.382+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 12.7M 4s
[2024-12-06T20:30:24.385+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 13.6M 4s
[2024-12-06T20:30:24.385+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  3%  115M 4s
[2024-12-06T20:30:24.388+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  3% 14.9M 4s
[2024-12-06T20:30:24.389+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  3% 88.7M 3s
[2024-12-06T20:30:24.389+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  3%  232M 3s
[2024-12-06T20:30:24.391+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 28.8M 3s
[2024-12-06T20:30:24.391+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 98.1M 3s
[2024-12-06T20:30:24.394+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  4% 18.8M 3s
[2024-12-06T20:30:24.395+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  4%  210M 3s
[2024-12-06T20:30:24.397+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  4% 19.0M 3s
[2024-12-06T20:30:24.398+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 38.2M 3s
[2024-12-06T20:30:24.400+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 22.7M 3s
[2024-12-06T20:30:24.402+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4% 45.9M 3s
[2024-12-06T20:30:24.403+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  5% 64.0M 2s
[2024-12-06T20:30:24.404+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  5% 21.9M 2s
[2024-12-06T20:30:24.405+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  5% 82.9M 2s
[2024-12-06T20:30:24.405+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  5% 90.3M 2s
[2024-12-06T20:30:24.406+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5%  195M 2s
[2024-12-06T20:30:24.407+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5% 37.6M 2s
[2024-12-06T20:30:24.408+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  6% 47.3M 2s
[2024-12-06T20:30:24.471+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  6%  806K 3s
[2024-12-06T20:30:24.474+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  6% 13.0M 3s
[2024-12-06T20:30:24.475+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  6%  121M 3s
[2024-12-06T20:30:24.477+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6%  146M 3s
[2024-12-06T20:30:24.479+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6%  101M 3s
[2024-12-06T20:30:24.522+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  7% 1.08M 3s
[2024-12-06T20:30:24.525+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  7% 53.8M 3s
[2024-12-06T20:30:24.526+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  7% 41.4M 3s
[2024-12-06T20:30:24.528+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  7% 35.7M 3s
[2024-12-06T20:30:24.529+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  7%  256M 3s
[2024-12-06T20:30:24.529+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  8% 28.0M 3s
[2024-12-06T20:30:24.530+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  8%  146M 3s
[2024-12-06T20:30:24.537+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  8%  168M 3s
[2024-12-06T20:30:24.538+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  8% 42.6M 3s
[2024-12-06T20:30:24.539+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  8% 57.4M 3s
[2024-12-06T20:30:24.541+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  8%  113M 3s
