[2024-12-06T17:46:20.894+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:20.948+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:20.980+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:20.983+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:20.996+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-06T17:46:21.001+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2149) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:21.002+0000] {standard_task_runner.py:72} INFO - Started process 2152 to run task
[2024-12-06T17:46:21.004+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '40', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpmzwkfdrm']
[2024-12-06T17:46:21.006+0000] {standard_task_runner.py:105} INFO - Job 40: Subtask wget
[2024-12-06T17:46:21.063+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:21.783+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-04-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-04-02T06:00:00+00:00'
[2024-12-06T17:46:21.795+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:21.886+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:21.887+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-04.parquet -O /opt/***/output_2021-04.parquet']
[2024-12-06T17:46:21.915+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:21.934+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:21--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-04.parquet
[2024-12-06T17:46:21.967+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:21.979+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:22.022+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:22.023+0000] {subprocess.py:106} INFO - Length: 34018560 (32M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:22.024+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-04.parquet’
[2024-12-06T17:46:22.025+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:22.035+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 4.22M 8s
[2024-12-06T17:46:22.038+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 11.8M 5s
[2024-12-06T17:46:22.045+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 6.88M 5s
[2024-12-06T17:46:22.049+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 12.3M 4s
[2024-12-06T17:46:22.052+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 17.5M 4s
[2024-12-06T17:46:22.056+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 13.7M 4s
[2024-12-06T17:46:22.057+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  1% 26.4M 3s
[2024-12-06T17:46:22.059+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 24.9M 3s
[2024-12-06T17:46:22.061+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 26.3M 3s
[2024-12-06T17:46:22.063+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 24.2M 3s
[2024-12-06T17:46:22.065+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 32.7M 3s
[2024-12-06T17:46:22.067+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 25.7M 2s
[2024-12-06T17:46:22.068+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 31.1M 2s
[2024-12-06T17:46:22.071+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  2% 23.7M 2s
[2024-12-06T17:46:22.072+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  2% 89.9M 2s
[2024-12-06T17:46:22.072+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 36.3M 2s
[2024-12-06T17:46:22.073+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 50.5M 2s
[2024-12-06T17:46:22.074+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  2% 59.0M 2s
[2024-12-06T17:46:22.089+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 3.21M 2s
[2024-12-06T17:46:22.097+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  3% 6.49M 2s
[2024-12-06T17:46:22.099+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  3% 65.1M 2s
[2024-12-06T17:46:22.110+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 4.23M 3s
[2024-12-06T17:46:22.127+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 3.07M 3s
[2024-12-06T17:46:22.156+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 17.0M 3s
[2024-12-06T17:46:22.173+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3%  102M 3s
[2024-12-06T17:46:22.175+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3%  108M 3s
[2024-12-06T17:46:22.176+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 49.1M 3s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 43.0M 2s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4%  102M 2s
[2024-12-06T17:46:22.183+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  4% 91.4M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4%  143M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 55.0M 2s
[2024-12-06T17:46:22.185+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4%  180M 2s
