[2024-12-06T17:46:20.939+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:20.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:20.997+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:21.000+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:21.011+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-05-02 06:00:00+00:00
[2024-12-06T17:46:21.015+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2150) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:21.017+0000] {standard_task_runner.py:72} INFO - Started process 2154 to run task
[2024-12-06T17:46:21.017+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-05-02T06:00:00+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpumse7ujz']
[2024-12-06T17:46:21.021+0000] {standard_task_runner.py:105} INFO - Job 41: Subtask wget
[2024-12-06T17:46:21.070+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:21.368+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-05-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-05-02T06:00:00+00:00'
[2024-12-06T17:46:21.369+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:21.380+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:21.400+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet -O /opt/***/output_2021-05.parquet']
[2024-12-06T17:46:21.746+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:21.885+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:21--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet
[2024-12-06T17:46:21.961+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:21.977+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:22.023+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:22.023+0000] {subprocess.py:106} INFO - Length: 38743682 (37M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:22.025+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-05.parquet’
[2024-12-06T17:46:22.028+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:22.037+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 3.49M 11s
[2024-12-06T17:46:22.039+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 20.6M 6s
[2024-12-06T17:46:22.046+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 6.78M 6s
[2024-12-06T17:46:22.050+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 12.5M 5s
[2024-12-06T17:46:22.053+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 15.8M 5s
[2024-12-06T17:46:22.056+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 15.9M 4s
[2024-12-06T17:46:22.059+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 29.4M 4s
[2024-12-06T17:46:22.060+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 19.9M 4s
[2024-12-06T17:46:22.062+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 27.5M 3s
[2024-12-06T17:46:22.064+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 24.0M 3s
[2024-12-06T17:46:22.066+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 28.6M 3s
[2024-12-06T17:46:22.068+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 24.4M 3s
[2024-12-06T17:46:22.069+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 41.9M 3s
[2024-12-06T17:46:22.071+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 43.2M 3s
[2024-12-06T17:46:22.073+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 23.2M 2s
[2024-12-06T17:46:22.074+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 43.2M 2s
[2024-12-06T17:46:22.074+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 55.7M 2s
[2024-12-06T17:46:22.098+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  2% 2.08M 3s
[2024-12-06T17:46:22.100+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 32.8M 3s
[2024-12-06T17:46:22.108+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2% 6.09M 3s
[2024-12-06T17:46:22.113+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 63.9M 3s
[2024-12-06T17:46:22.115+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 98.1M 3s
[2024-12-06T17:46:22.119+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 9.16M 3s
[2024-12-06T17:46:22.123+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 18.3M 3s
[2024-12-06T17:46:22.125+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3%  103M 3s
[2024-12-06T17:46:22.127+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 13.3M 3s
[2024-12-06T17:46:22.156+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 22.0M 3s
[2024-12-06T17:46:22.173+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 81.9M 3s
[2024-12-06T17:46:22.175+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3% 29.2M 3s
[2024-12-06T17:46:22.176+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 62.0M 3s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4%  185M 2s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 98.7M 2s
[2024-12-06T17:46:22.183+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4% 47.1M 2s
[2024-12-06T17:46:22.183+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4% 24.2M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 68.3M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4%  112M 2s
[2024-12-06T17:46:22.185+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 45.2M 2s
[2024-12-06T17:46:22.186+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 65.3M 2s
[2024-12-06T17:46:22.187+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 29.4M 2s
[2024-12-06T17:46:22.187+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  5% 20.0M 2s
[2024-12-06T17:46:22.188+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  5% 36.3M 2s
[2024-12-06T17:46:22.188+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  5% 36.9M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5% 33.5M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5% 39.3M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5%  104M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 61.2M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  6% 43.8M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  6% 26.2M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  6% 84.5M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  6% 34.5M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6%  145M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6% 73.7M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7% 86.4M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  7% 79.2M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  7% 98.4M 2s
