[2024-12-06T20:30:35.517+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:35.530+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.538+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.539+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:35.549+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-05-02 06:00:00+00:00
[2024-12-06T20:30:35.562+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4202) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:35.564+0000] {standard_task_runner.py:72} INFO - Started process 4207 to run task
[2024-12-06T20:30:35.565+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-05-02T06:00:00+00:00', '--job-id', '93', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmps1eo1ml5']
[2024-12-06T20:30:35.567+0000] {standard_task_runner.py:105} INFO - Job 93: Subtask wget
[2024-12-06T20:30:35.615+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:36.049+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-05-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-05-02T06:00:00+00:00'
[2024-12-06T20:30:36.055+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:36.072+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:36.073+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet -O /opt/***/output_2021-05.parquet']
[2024-12-06T20:30:36.084+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:36.090+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:36--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet
[2024-12-06T20:30:36.112+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:36.135+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:36.217+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:36.217+0000] {subprocess.py:106} INFO - Length: 38743682 (37M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:36.217+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-05.parquet’
[2024-12-06T20:30:36.219+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:36.240+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 2.08M 18s
[2024-12-06T20:30:36.251+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 4.50M 13s
[2024-12-06T20:30:36.264+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.86M 12s
[2024-12-06T20:30:36.270+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 7.50M 10s
[2024-12-06T20:30:36.276+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 7.84M 9s
[2024-12-06T20:30:36.281+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 12.1M 8s
[2024-12-06T20:30:36.287+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 11.1M 7s
[2024-12-06T20:30:36.289+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  1% 11.2M 7s
[2024-12-06T20:30:36.293+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  1% 11.6M 6s
[2024-12-06T20:30:36.296+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 21.3M 6s
[2024-12-06T20:30:36.299+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 15.5M 6s
[2024-12-06T20:30:36.302+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 16.8M 5s
[2024-12-06T20:30:36.304+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 20.8M 5s
[2024-12-06T20:30:36.306+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 30.8M 5s
[2024-12-06T20:30:36.308+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 18.8M 5s
[2024-12-06T20:30:36.310+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 30.3M 4s
[2024-12-06T20:30:36.312+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 23.8M 4s
[2024-12-06T20:30:36.313+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  2% 43.1M 4s
[2024-12-06T20:30:36.315+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 23.6M 4s
[2024-12-06T20:30:36.316+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2% 49.4M 4s
[2024-12-06T20:30:36.319+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 18.3M 4s
[2024-12-06T20:30:36.326+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 10.8M 4s
[2024-12-06T20:30:36.347+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 2.02M 4s
[2024-12-06T20:30:36.374+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 1.85M 5s
[2024-12-06T20:30:36.398+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 2.14M 5s
[2024-12-06T20:30:36.405+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 7.38M 5s
[2024-12-06T20:30:36.412+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 5.74M 5s
[2024-12-06T20:30:36.414+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 22.2M 5s
[2024-12-06T20:30:36.417+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3%  131M 5s
[2024-12-06T20:30:36.418+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 94.2M 5s
[2024-12-06T20:30:36.424+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4% 51.1M 5s
[2024-12-06T20:30:36.427+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 72.8M 5s
[2024-12-06T20:30:36.440+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4% 2.12M 5s
[2024-12-06T20:30:36.445+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4% 9.55M 5s
[2024-12-06T20:30:36.447+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 21.9M 5s
[2024-12-06T20:30:36.450+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4% 16.7M 5s
[2024-12-06T20:30:36.452+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 23.9M 5s
[2024-12-06T20:30:36.454+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 85.1M 4s
[2024-12-06T20:30:36.456+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 60.3M 4s
[2024-12-06T20:30:36.459+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  5% 67.2M 4s
[2024-12-06T20:30:36.469+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  5% 3.30M 4s
[2024-12-06T20:30:36.472+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  5% 34.5M 4s
[2024-12-06T20:30:36.474+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5% 73.1M 4s
[2024-12-06T20:30:36.475+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5%  141M 4s
[2024-12-06T20:30:36.480+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5% 96.2M 4s
[2024-12-06T20:30:36.482+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 83.3M 4s
[2024-12-06T20:30:36.483+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  6%  101M 4s
[2024-12-06T20:30:36.485+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  6% 93.5M 4s
[2024-12-06T20:30:36.487+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  6% 44.0M 4s
[2024-12-06T20:30:36.487+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  6%  135M 4s
[2024-12-06T20:30:36.488+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6% 94.5M 4s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6% 54.4M 4s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7%  152M 3s
[2024-12-06T20:30:36.490+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  7%  125M 3s
