[2024-12-06T17:46:29.829+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:29.854+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:29.867+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:29.868+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:30.070+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-08-02 06:00:00+00:00
[2024-12-06T17:46:30.085+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2207) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:30.086+0000] {standard_task_runner.py:72} INFO - Started process 2211 to run task
[2024-12-06T17:46:30.088+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-08-02T06:00:00+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpz7t9n1u3']
[2024-12-06T17:46:30.091+0000] {standard_task_runner.py:105} INFO - Job 47: Subtask wget
[2024-12-06T17:46:30.401+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:31.076+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-08-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-08-02T06:00:00+00:00'
[2024-12-06T17:46:31.084+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:31.132+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:31.133+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-08.parquet -O /opt/***/output_2021-08.parquet']
[2024-12-06T17:46:31.158+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:31.165+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:31--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-08.parquet
[2024-12-06T17:46:31.195+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:31.236+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:32.137+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:32.142+0000] {subprocess.py:106} INFO - Length: 43425907 (41M) [application/x-www-form-urlencoded]
