[2024-12-06T17:46:30.414+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:30.428+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.008+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.010+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:31.034+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-09-02 06:00:00+00:00
[2024-12-06T17:46:31.044+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2208) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:31.047+0000] {standard_task_runner.py:72} INFO - Started process 2213 to run task
[2024-12-06T17:46:31.048+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-09-02T06:00:00+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp4ndnyonz']
[2024-12-06T17:46:31.053+0000] {standard_task_runner.py:105} INFO - Job 48: Subtask wget
[2024-12-06T17:46:31.161+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:31.805+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-09-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-09-02T06:00:00+00:00'
[2024-12-06T17:46:31.807+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:31.833+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:31.834+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet -O /opt/***/output_2021-09.parquet']
[2024-12-06T17:46:31.844+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:31.848+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:31--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet
[2024-12-06T17:46:31.865+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:31.876+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:31.919+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:31.920+0000] {subprocess.py:106} INFO - Length: 46125883 (44M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:31.920+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-09.parquet’
[2024-12-06T17:46:31.921+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:31.930+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 4.48M 10s
[2024-12-06T17:46:31.934+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 12.2M 7s
[2024-12-06T17:46:31.954+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 2.48M 10s
[2024-12-06T17:46:31.956+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 97.1M 8s
