[2024-12-06T20:30:41.257+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:41.267+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:41.273+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:41.273+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:41.430+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-09-02 06:00:00+00:00
[2024-12-06T20:30:41.437+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4261) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:41.440+0000] {standard_task_runner.py:72} INFO - Started process 4266 to run task
[2024-12-06T20:30:41.441+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-09-02T06:00:00+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpzp_v89l9']
[2024-12-06T20:30:41.447+0000] {standard_task_runner.py:105} INFO - Job 100: Subtask wget
[2024-12-06T20:30:41.482+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:41.525+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-09-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-09-02T06:00:00+00:00'
[2024-12-06T20:30:41.526+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:41.534+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:41.535+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet -O /opt/***/output_2021-09.parquet']
[2024-12-06T20:30:41.542+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:41.545+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:41--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet
[2024-12-06T20:30:41.555+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:41.577+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:41.655+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:41.658+0000] {subprocess.py:106} INFO - Length: 46125883 (44M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:41.659+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-09.parquet’
[2024-12-06T20:30:41.660+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:41.680+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 2.00M 22s
[2024-12-06T20:30:41.689+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 4.98M 15s
[2024-12-06T20:30:41.702+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.83M 14s
[2024-12-06T20:30:41.708+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 7.66M 12s
[2024-12-06T20:30:41.720+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 4.41M 12s
[2024-12-06T20:30:41.741+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 2.25M 13s
[2024-12-06T20:30:41.766+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 1.95M 14s
[2024-12-06T20:30:41.767+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 77.8M 12s
[2024-12-06T20:30:41.767+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0%  253M 11s
[2024-12-06T20:30:41.767+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1%  250M 10s
[2024-12-06T20:30:41.768+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1%  271M 9s
[2024-12-06T20:30:41.788+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 2.41M 10s
[2024-12-06T20:30:41.789+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1%  119M 9s
[2024-12-06T20:30:41.790+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1%  147M 8s
[2024-12-06T20:30:41.790+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1%  213M 8s
[2024-12-06T20:30:41.791+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1%  243M 7s
[2024-12-06T20:30:41.815+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 1.89M 8s
[2024-12-06T20:30:41.816+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 44.9M 8s
[2024-12-06T20:30:41.847+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 1.56M 9s
[2024-12-06T20:30:41.852+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2%  116M 8s
[2024-12-06T20:30:41.852+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2%  311M 8s
[2024-12-06T20:30:41.853+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 32.3M 8s
[2024-12-06T20:30:41.854+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 71.4M 7s
[2024-12-06T20:30:41.854+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2%  160M 7s
[2024-12-06T20:30:41.856+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  137M 7s
[2024-12-06T20:30:41.859+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2%  321M 7s
[2024-12-06T20:30:41.863+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 63.0M 6s
[2024-12-06T20:30:41.864+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 58.5M 6s
[2024-12-06T20:30:41.868+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3% 40.2M 6s
[2024-12-06T20:30:41.868+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 16.5M 6s
[2024-12-06T20:30:41.869+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 73.3M 6s
[2024-12-06T20:30:41.869+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3%  294M 5s
[2024-12-06T20:30:41.870+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3%  106M 5s
[2024-12-06T20:30:41.871+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3%  189M 5s
[2024-12-06T20:30:41.872+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3% 53.2M 5s
[2024-12-06T20:30:41.874+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 55.1M 5s
[2024-12-06T20:30:41.875+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 39.4M 5s
[2024-12-06T20:30:41.879+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  4% 5.20M 5s
[2024-12-06T20:30:41.893+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  4% 2.12M 5s
[2024-12-06T20:30:41.899+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 9.69M 5s
[2024-12-06T20:30:41.901+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 20.8M 5s
[2024-12-06T20:30:41.904+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4% 13.9M 5s
[2024-12-06T20:30:41.905+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4%  218M 5s
[2024-12-06T20:30:41.905+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4%  210M 5s
[2024-12-06T20:30:41.905+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4%  220M 5s
[2024-12-06T20:30:41.951+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  5% 1.06M 6s
[2024-12-06T20:30:41.952+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  5% 82.6M 5s
[2024-12-06T20:30:41.952+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  5%  143M 5s
[2024-12-06T20:30:41.953+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  5%  185M 5s
[2024-12-06T20:30:41.966+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5% 3.64M 5s
[2024-12-06T20:30:41.966+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  5%  128M 5s
[2024-12-06T20:30:41.967+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5%  259M 5s
[2024-12-06T20:30:41.967+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5%  322M 5s
[2024-12-06T20:30:41.967+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5%  342M 5s
[2024-12-06T20:30:41.967+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  6%  204M 5s
[2024-12-06T20:30:41.984+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  6% 2.83M 5s
[2024-12-06T20:30:41.985+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  6%  173M 5s
[2024-12-06T20:30:41.986+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  6% 50.4M 5s
[2024-12-06T20:30:41.987+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  6% 28.2M 5s
[2024-12-06T20:30:41.988+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  6% 48.4M 5s
[2024-12-06T20:30:41.989+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  6%  109M 5s
[2024-12-06T20:30:42.015+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  6% 1.87M 5s
[2024-12-06T20:30:42.015+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  6% 75.8M 5s
[2024-12-06T20:30:42.015+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  7%  228M 5s
[2024-12-06T20:30:42.016+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  7%  298M 5s
[2024-12-06T20:30:42.030+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  7% 3.45M 5s
[2024-12-06T20:30:42.030+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  7%  218M 5s
[2024-12-06T20:30:42.031+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  7%  277M 5s
[2024-12-06T20:30:42.031+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  7%  262M 5s
[2024-12-06T20:30:42.031+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  7% 49.9M 4s
[2024-12-06T20:30:42.032+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  7%  141M 4s
[2024-12-06T20:30:42.051+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  7% 2.57M 5s
[2024-12-06T20:30:42.051+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  8%  275M 4s
[2024-12-06T20:30:42.051+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  8%  143M 4s
[2024-12-06T20:30:42.052+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  8%  259M 4s
[2024-12-06T20:30:42.052+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  8%  238M 4s
[2024-12-06T20:30:42.053+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  8% 28.1M 4s
[2024-12-06T20:30:42.054+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  8%  165M 4s
[2024-12-06T20:30:42.054+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  8%  210M 4s
[2024-12-06T20:30:42.071+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  8% 2.86M 4s
[2024-12-06T20:30:42.074+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  8%  100M 4s
[2024-12-06T20:30:42.074+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  9% 52.5M 4s
[2024-12-06T20:30:42.078+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  9%  100M 4s
