[2024-12-06T17:46:50.252+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:50.273+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:50.283+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:50.286+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:50.298+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-10-02 06:00:00+00:00
[2024-12-06T17:46:50.306+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2270) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:50.309+0000] {standard_task_runner.py:72} INFO - Started process 2275 to run task
[2024-12-06T17:46:50.309+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-10-02T06:00:00+00:00', '--job-id', '53', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpv1afysmr']
[2024-12-06T17:46:50.312+0000] {standard_task_runner.py:105} INFO - Job 53: Subtask wget
[2024-12-06T17:46:50.382+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:50.913+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-10-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-10-02T06:00:00+00:00'
[2024-12-06T17:46:50.913+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:50.923+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:50.924+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet -O /opt/***/output_2021-10.parquet']
[2024-12-06T17:46:50.941+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:50.951+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:50--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet
[2024-12-06T17:46:50.968+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:50.981+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:51.021+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:51.021+0000] {subprocess.py:106} INFO - Length: 53286464 (51M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:51.021+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-10.parquet’
[2024-12-06T17:46:51.022+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:51.032+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 4.24M 12s
[2024-12-06T17:46:51.037+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 11.4M 8s
[2024-12-06T17:46:51.044+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 6.93M 8s
[2024-12-06T17:46:51.047+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 14.8M 7s
[2024-12-06T17:46:51.050+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 14.1M 6s
[2024-12-06T17:46:51.054+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 12.1M 6s
[2024-12-06T17:46:51.056+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 27.2M 5s
