[2024-12-06T20:30:44.589+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:44.598+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:44.602+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:44.602+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:44.610+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-10-02 06:00:00+00:00
[2024-12-06T20:30:44.614+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4302) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:44.615+0000] {standard_task_runner.py:72} INFO - Started process 4303 to run task
[2024-12-06T20:30:44.615+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-10-02T06:00:00+00:00', '--job-id', '104', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp2np9xtsc']
[2024-12-06T20:30:44.617+0000] {standard_task_runner.py:105} INFO - Job 104: Subtask wget
[2024-12-06T20:30:44.646+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-10-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:44.839+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-10-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-10-02T06:00:00+00:00'
[2024-12-06T20:30:44.841+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:44.854+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:44.856+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet -O /opt/***/output_2021-10.parquet']
[2024-12-06T20:30:44.876+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:44.880+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:44--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet
[2024-12-06T20:30:44.892+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:44.919+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:45.018+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:45.019+0000] {subprocess.py:106} INFO - Length: 53286464 (51M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:45.021+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-10.parquet’
[2024-12-06T20:30:45.021+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:45.038+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 2.56M 20s
[2024-12-06T20:30:45.047+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 5.14M 15s
[2024-12-06T20:30:45.061+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.44M 15s
[2024-12-06T20:30:45.069+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 6.08M 13s
[2024-12-06T20:30:45.076+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 7.90M 12s
[2024-12-06T20:30:45.079+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 13.2M 10s
[2024-12-06T20:30:45.085+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 8.86M 10s
[2024-12-06T20:30:45.091+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 7.94M 9s
[2024-12-06T20:30:45.095+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 12.0M 9s
[2024-12-06T20:30:45.098+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  0% 14.1M 8s
[2024-12-06T20:30:45.102+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 13.5M 8s
[2024-12-06T20:30:45.106+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 15.4M 7s
[2024-12-06T20:30:45.107+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 46.1M 7s
[2024-12-06T20:30:45.108+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 58.6M 6s
[2024-12-06T20:30:45.110+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 18.5M 6s
[2024-12-06T20:30:45.111+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 26.8M 6s
[2024-12-06T20:30:45.114+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 22.3M 6s
[2024-12-06T20:30:45.116+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 25.9M 6s
[2024-12-06T20:30:45.117+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1% 33.4M 5s
[2024-12-06T20:30:45.118+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  1% 36.5M 5s
[2024-12-06T20:30:45.120+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 28.4M 5s
[2024-12-06T20:30:45.121+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 34.9M 5s
[2024-12-06T20:30:45.124+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 21.3M 5s
[2024-12-06T20:30:45.126+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 26.6M 5s
[2024-12-06T20:30:45.126+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  242M 4s
[2024-12-06T20:30:45.132+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 55.0M 4s
[2024-12-06T20:30:45.132+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 9.92M 4s
[2024-12-06T20:30:45.137+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 24.6M 4s
[2024-12-06T20:30:45.146+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2%  252M 4s
[2024-12-06T20:30:45.167+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2%  184M 4s
[2024-12-06T20:30:45.182+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  2%  276M 4s
[2024-12-06T20:30:45.185+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 22.4M 4s
[2024-12-06T20:30:45.186+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3% 46.3M 4s
[2024-12-06T20:30:45.187+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3%  185M 4s
[2024-12-06T20:30:45.187+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3% 24.2M 3s
[2024-12-06T20:30:45.188+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3%  117M 3s
[2024-12-06T20:30:45.189+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 62.9M 3s
[2024-12-06T20:30:45.190+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3%  139M 3s
[2024-12-06T20:30:45.194+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3% 10.5M 3s
[2024-12-06T20:30:45.194+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  3% 29.3M 3s
