[2024-12-06T20:30:45.290+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:45.303+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-11-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:45.310+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-11-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:45.311+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:45.458+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-11-02 06:00:00+00:00
[2024-12-06T20:30:45.464+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4305) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:45.465+0000] {standard_task_runner.py:72} INFO - Started process 4321 to run task
[2024-12-06T20:30:45.466+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-11-02T06:00:00+00:00', '--job-id', '105', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpdyp4ux83']
[2024-12-06T20:30:45.468+0000] {standard_task_runner.py:105} INFO - Job 105: Subtask wget
[2024-12-06T20:30:45.508+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-11-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:45.566+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-11-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-11-02T06:00:00+00:00'
[2024-12-06T20:30:45.567+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:30:45.581+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:30:45.584+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-11.parquet -O /opt/***/output_2021-11.parquet']
[2024-12-06T20:30:45.597+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:30:45.603+0000] {subprocess.py:106} INFO - --2024-12-06 20:30:45--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-11.parquet
[2024-12-06T20:30:45.614+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 52.84.160.73, 52.84.160.116, 52.84.160.213, ...
[2024-12-06T20:30:45.635+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|52.84.160.73|:443... connected.
[2024-12-06T20:30:45.712+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:30:45.713+0000] {subprocess.py:106} INFO - Length: 53100722 (51M) [application/x-www-form-urlencoded]
[2024-12-06T20:30:45.714+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-11.parquet’
[2024-12-06T20:30:45.715+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:30:45.735+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0% 2.18M 23s
[2024-12-06T20:30:45.746+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 4.24M 18s
[2024-12-06T20:30:45.759+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 3.75M 16s
[2024-12-06T20:30:45.766+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 7.41M 14s
[2024-12-06T20:30:45.773+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 7.54M 12s
[2024-12-06T20:30:45.778+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 9.64M 11s
[2024-12-06T20:30:45.783+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 12.7M 10s
[2024-12-06T20:30:45.786+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 9.49M 10s
[2024-12-06T20:30:45.790+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 17.7M 9s
[2024-12-06T20:30:45.792+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  0% 17.9M 8s
[2024-12-06T20:30:45.796+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 11.2M 8s
[2024-12-06T20:30:45.799+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 20.5M 7s
[2024-12-06T20:30:45.800+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 24.2M 7s
[2024-12-06T20:30:45.802+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 25.3M 7s
[2024-12-06T20:30:45.805+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 25.4M 6s
[2024-12-06T20:30:45.807+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 22.3M 6s
[2024-12-06T20:30:45.808+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 33.6M 6s
[2024-12-06T20:30:45.810+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 23.9M 6s
[2024-12-06T20:30:45.812+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1% 29.0M 5s
[2024-12-06T20:30:45.813+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  1% 35.5M 5s
[2024-12-06T20:30:45.814+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 51.0M 5s
[2024-12-06T20:30:45.816+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 29.1M 5s
[2024-12-06T20:30:45.818+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 31.0M 5s
[2024-12-06T20:30:45.819+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 32.3M 5s
[2024-12-06T20:30:45.820+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 51.2M 4s
[2024-12-06T20:30:45.821+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 57.1M 4s
[2024-12-06T20:30:45.822+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 33.8M 4s
[2024-12-06T20:30:45.823+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 44.9M 4s
[2024-12-06T20:30:45.824+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 60.8M 4s
[2024-12-06T20:30:45.825+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2% 56.3M 4s
[2024-12-06T20:30:45.826+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  2% 43.5M 4s
[2024-12-06T20:30:45.827+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 36.1M 4s
[2024-12-06T20:30:45.828+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3% 53.2M 4s
[2024-12-06T20:30:45.829+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3% 69.7M 3s
