[2024-12-06T17:46:50.391+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:50.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:50.424+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:50.425+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:50.910+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-12-02 06:00:00+00:00
[2024-12-06T17:46:50.916+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2272) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:50.917+0000] {standard_task_runner.py:72} INFO - Started process 2277 to run task
[2024-12-06T17:46:50.917+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-12-02T06:00:00+00:00', '--job-id', '54', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpk00ys80w']
[2024-12-06T17:46:50.920+0000] {standard_task_runner.py:105} INFO - Job 54: Subtask wget
[2024-12-06T17:46:50.973+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:51.024+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2021-12-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-12-02T06:00:00+00:00'
[2024-12-06T17:46:51.025+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:46:51.034+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:46:51.034+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-12.parquet -O /opt/***/output_2021-12.parquet']
[2024-12-06T17:46:51.042+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:46:51.044+0000] {subprocess.py:106} INFO - --2024-12-06 17:46:51--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-12.parquet
[2024-12-06T17:46:51.054+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.220, 18.154.99.225, ...
[2024-12-06T17:46:51.066+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T17:46:51.106+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:46:51.107+0000] {subprocess.py:106} INFO - Length: 49639052 (47M) [application/x-www-form-urlencoded]
[2024-12-06T17:46:51.114+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2021-12.parquet’
[2024-12-06T17:46:51.115+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:46:51.159+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  948K 51s
[2024-12-06T17:46:51.161+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0% 23.7M 27s
[2024-12-06T17:46:51.165+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0% 12.5M 19s
[2024-12-06T17:46:51.194+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 1.66M 21s
[2024-12-06T17:46:51.196+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 43.7M 17s
[2024-12-06T17:46:51.196+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0%  114M 14s
[2024-12-06T17:46:51.204+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 23.1M 13s
[2024-12-06T17:46:51.212+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 3.35M 13s
[2024-12-06T17:46:51.213+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0%  122M 11s
[2024-12-06T17:46:51.214+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  1% 78.1M 10s
[2024-12-06T17:46:51.225+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  1% 4.25M 10s
[2024-12-06T17:46:51.226+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 33.5M 10s
[2024-12-06T17:46:51.228+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 23.5M 9s
[2024-12-06T17:46:51.230+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 32.7M 8s
[2024-12-06T17:46:51.238+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 6.45M 8s
[2024-12-06T17:46:51.239+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 35.3M 8s
[2024-12-06T17:46:51.264+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 1.92M 9s
[2024-12-06T17:46:51.280+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 3.19M 9s
[2024-12-06T17:46:51.280+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1%  222M 9s
[2024-12-06T17:46:51.280+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2% 75.8M 8s
[2024-12-06T17:46:51.281+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2%  256M 8s
[2024-12-06T17:46:51.281+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2%  275M 8s
[2024-12-06T17:46:51.281+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 92.1M 7s
[2024-12-06T17:46:51.287+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 7.92M 7s
[2024-12-06T17:46:51.288+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  145M 7s
[2024-12-06T17:46:51.289+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2%  176M 7s
[2024-12-06T17:46:51.289+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2%  118M 6s
[2024-12-06T17:46:51.289+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2%  245M 6s
[2024-12-06T17:46:51.290+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2%  244M 6s
[2024-12-06T17:46:51.292+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 14.6M 6s
[2024-12-06T17:46:51.293+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3%  125M 6s
[2024-12-06T17:46:51.293+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3%  175M 5s
[2024-12-06T17:46:51.294+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3%  201M 5s
[2024-12-06T17:46:51.295+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3%  161M 5s
[2024-12-06T17:46:51.295+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3%  281M 5s
[2024-12-06T17:46:51.298+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 11.7M 5s
[2024-12-06T17:46:51.299+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 31.6M 5s
[2024-12-06T17:46:51.340+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 1.23M 6s
[2024-12-06T17:46:51.342+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  4% 93.2M 6s
[2024-12-06T17:46:51.344+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 52.2M 5s
[2024-12-06T17:46:51.346+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 15.5M 5s
[2024-12-06T17:46:51.347+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4% 30.7M 5s
[2024-12-06T17:46:51.351+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4% 53.7M 5s
[2024-12-06T17:46:51.352+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4% 23.1M 5s
[2024-12-06T17:46:51.355+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4% 30.5M 5s
[2024-12-06T17:46:51.357+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  4% 31.7M 5s
[2024-12-06T17:46:51.358+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  4% 17.7M 5s
[2024-12-06T17:46:51.358+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  4% 45.8M 5s
[2024-12-06T17:46:51.358+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  5%  264M 5s
[2024-12-06T17:46:51.359+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5% 18.8M 5s
[2024-12-06T17:46:51.360+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  5% 58.0M 5s
[2024-12-06T17:46:51.360+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5% 69.2M 4s
[2024-12-06T17:46:51.361+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5% 40.6M 4s
[2024-12-06T17:46:51.362+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5% 33.6M 4s
[2024-12-06T17:46:51.363+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  5%  260M 4s
[2024-12-06T17:46:51.364+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  5%  103M 4s
[2024-12-06T17:46:51.364+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  5% 86.3M 4s
[2024-12-06T17:46:51.366+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  5% 76.5M 4s
[2024-12-06T17:46:51.367+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  6% 42.5M 4s
[2024-12-06T17:46:51.368+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  6%  164M 4s
[2024-12-06T17:46:51.369+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  6% 43.6M 4s
[2024-12-06T17:46:51.372+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  6% 21.3M 4s
[2024-12-06T17:46:51.373+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  6% 15.8M 4s
[2024-12-06T17:46:51.374+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  6%  125M 4s
[2024-12-06T17:46:51.375+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  6% 86.6M 4s
[2024-12-06T17:46:51.378+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  6%  224M 4s
[2024-12-06T17:46:51.379+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  6% 25.6M 4s
[2024-12-06T17:46:51.384+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  7% 48.9M 4s
[2024-12-06T17:46:51.394+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  7%  108M 4s
[2024-12-06T17:46:51.402+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  7% 55.7M 3s
[2024-12-06T17:46:51.407+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  7% 2.14M 4s
[2024-12-06T17:46:51.412+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  7% 14.6M 4s
[2024-12-06T17:46:51.415+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  7% 14.2M 4s
[2024-12-06T17:46:51.422+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  7% 16.3M 4s
[2024-12-06T17:46:51.422+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  7%  136M 4s
[2024-12-06T17:46:51.423+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  7%  148M 4s
[2024-12-06T17:46:51.425+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  7% 12.8M 4s
[2024-12-06T17:46:51.429+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  8% 59.5M 4s
[2024-12-06T17:46:51.430+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  8% 41.7M 4s
[2024-12-06T17:46:51.432+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  8% 33.6M 3s
[2024-12-06T17:46:51.432+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  8% 49.3M 3s
[2024-12-06T17:46:51.433+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  8% 20.7M 3s
[2024-12-06T17:46:51.434+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  8% 15.6M 3s
[2024-12-06T17:46:51.435+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... ..........  8% 29.6M 3s
[2024-12-06T17:46:51.436+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... ..........  8% 12.2M 3s
[2024-12-06T17:46:51.438+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... ..........  8%  233M 3s
[2024-12-06T17:46:51.439+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... ..........  8%  129M 3s
[2024-12-06T17:46:51.441+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... ..........  9% 14.0M 3s
[2024-12-06T17:46:51.441+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... ..........  9%  158M 3s
[2024-12-06T17:46:51.452+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... ..........  9% 44.0M 3s
[2024-12-06T17:46:51.461+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... ..........  9%  175M 3s
[2024-12-06T17:46:51.480+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... ..........  9%  190M 3s
[2024-12-06T17:46:51.498+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... ..........  9% 28.9M 3s
[2024-12-06T17:46:51.502+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... ..........  9% 41.4M 3s
[2024-12-06T17:46:51.507+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... ..........  9% 13.3M 3s
[2024-12-06T17:46:51.512+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... ..........  9% 83.7M 3s
[2024-12-06T17:46:51.516+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 10% 4.83M 3s
[2024-12-06T17:46:51.518+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 10% 31.8M 3s
[2024-12-06T17:46:51.523+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 10% 2.55M 3s
[2024-12-06T17:46:51.524+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 10% 2.17M 3s
[2024-12-06T17:46:51.526+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 10% 25.9M 3s
[2024-12-06T17:46:51.527+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 10% 6.80M 3s
[2024-12-06T17:46:51.527+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 10% 5.90M 3s
[2024-12-06T17:46:51.528+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 10% 18.6M 3s
[2024-12-06T17:46:51.528+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 10% 18.8M 3s
[2024-12-06T17:46:51.531+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 10% 8.06M 3s
[2024-12-06T17:46:51.536+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 11% 69.8M 3s
[2024-12-06T17:46:51.538+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 11%  171M 3s
[2024-12-06T17:46:51.539+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 11% 50.4M 3s
[2024-12-06T17:46:51.540+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 11% 69.6M 3s
[2024-12-06T17:46:51.541+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 11% 8.72M 3s
[2024-12-06T17:46:51.546+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 11% 18.0M 3s
[2024-12-06T17:46:51.547+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 11%  291M 3s
[2024-12-06T17:46:51.548+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 11%  100M 3s
[2024-12-06T17:46:51.553+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 11% 49.1M 3s
[2024-12-06T17:46:51.556+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 11%  178M 3s
[2024-12-06T17:46:51.556+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 12%  274M 3s
[2024-12-06T17:46:51.558+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 12%  148M 3s
[2024-12-06T17:46:51.559+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 12% 32.8M 3s
[2024-12-06T17:46:51.562+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 12%  105M 3s
[2024-12-06T17:46:51.563+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 12% 55.6M 3s
