[2024-12-06T17:52:39.168+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:39.194+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-05-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.206+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-05-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.206+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:39.223+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-05-02 06:00:00+00:00
[2024-12-06T17:52:39.239+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2403) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:39.241+0000] {standard_task_runner.py:72} INFO - Started process 2408 to run task
[2024-12-06T17:52:39.243+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-05-02T06:00:00+00:00', '--job-id', '59', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmps9bbxcke']
[2024-12-06T17:52:39.250+0000] {standard_task_runner.py:105} INFO - Job 59: Subtask wget
[2024-12-06T17:52:39.321+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-05-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:39.938+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-05-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-05-02T06:00:00+00:00'
[2024-12-06T17:52:39.939+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:52:39.948+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:52:39.949+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet -O /opt/***/output_2024-05.parquet']
[2024-12-06T17:52:39.956+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:52:39.958+0000] {subprocess.py:106} INFO - --2024-12-06 17:52:39--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet
[2024-12-06T17:52:39.988+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.173.251.90, 18.173.251.37, 18.173.251.196, ...
[2024-12-06T17:52:40.029+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.173.251.90|:443... connected.
[2024-12-06T17:52:40.549+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:52:40.553+0000] {subprocess.py:106} INFO - Length: 62553128 (60M) [binary/octet-stream]
[2024-12-06T17:52:40.554+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2024-05.parquet’
[2024-12-06T17:52:40.555+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:52:40.669+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  734K 83s
[2024-12-06T17:52:40.681+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  794K 80s
[2024-12-06T17:52:40.777+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0%  516K 93s
[2024-12-06T17:52:40.780+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 18.0M 70s
[2024-12-06T17:52:40.792+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 3.82M 59s
[2024-12-06T17:52:40.794+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 28.1M 50s
[2024-12-06T17:52:40.796+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 22.4M 43s
[2024-12-06T17:52:40.814+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 7.76M 38s
[2024-12-06T17:52:40.823+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 2.40M 37s
[2024-12-06T17:52:40.830+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  0% 7.33M 34s
[2024-12-06T17:52:40.832+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  0% 23.1M 31s
[2024-12-06T17:52:40.838+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  0% 7.97M 29s
[2024-12-06T17:52:40.846+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 6.17M 28s
[2024-12-06T17:52:40.852+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 8.20M 26s
[2024-12-06T17:52:40.860+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 6.13M 25s
[2024-12-06T17:52:40.865+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 8.75M 24s
[2024-12-06T17:52:40.869+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 12.8M 23s
[2024-12-06T17:52:40.873+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 11.5M 22s
[2024-12-06T17:52:40.877+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1% 13.4M 21s
[2024-12-06T17:52:40.879+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  1% 23.8M 20s
[2024-12-06T17:52:40.884+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  1% 11.8M 19s
[2024-12-06T17:52:40.930+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  1% 1.04M 21s
[2024-12-06T17:52:40.931+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  1% 66.0M 20s
[2024-12-06T17:52:40.934+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  1% 72.0M 19s
[2024-12-06T17:52:40.937+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  126M 18s
[2024-12-06T17:52:40.938+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2%  233M 18s
[2024-12-06T17:52:40.938+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 96.0M 17s
[2024-12-06T17:52:40.938+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 89.9M 16s
[2024-12-06T17:52:40.954+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 2.33M 17s
[2024-12-06T17:52:40.956+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2% 33.4M 16s
[2024-12-06T17:52:40.958+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  2% 18.0M 16s
[2024-12-06T17:52:40.960+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  2% 23.8M 15s
[2024-12-06T17:52:40.961+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  2% 58.1M 15s
[2024-12-06T17:52:40.962+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  2%  339M 14s
[2024-12-06T17:52:40.964+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  2% 17.3M 14s
[2024-12-06T17:52:40.966+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  2%  108M 14s
[2024-12-06T17:52:40.969+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3%  173M 13s
[2024-12-06T17:52:40.970+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 86.6M 13s
[2024-12-06T17:52:40.971+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3% 52.9M 13s
[2024-12-06T17:52:40.972+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  3% 89.4M 12s
[2024-12-06T17:52:40.972+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  3% 57.6M 12s
[2024-12-06T17:52:40.972+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  3% 87.5M 12s
[2024-12-06T17:52:40.972+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  3%  169M 12s
[2024-12-06T17:52:40.973+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  3%  109M 11s
[2024-12-06T17:52:40.973+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  3% 59.0M 11s
[2024-12-06T17:52:40.973+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  3% 78.7M 11s
[2024-12-06T17:52:40.974+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  3%  148M 11s
[2024-12-06T17:52:40.974+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  3%  222M 10s
[2024-12-06T17:52:40.974+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  4%  138M 10s
[2024-12-06T17:52:40.975+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  4%  350M 10s
[2024-12-06T17:52:40.975+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  4%  240M 10s
[2024-12-06T17:52:40.977+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  4%  291M 10s
[2024-12-06T17:52:40.978+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  4% 61.3M 9s
[2024-12-06T17:52:40.979+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  4% 46.8M 9s
[2024-12-06T17:52:40.980+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  4% 10.9M 9s
[2024-12-06T17:52:41.026+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  4% 1.04M 10s
[2024-12-06T17:52:41.027+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  4% 56.0M 10s
[2024-12-06T17:52:41.031+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  4%  192M 10s
[2024-12-06T17:52:41.040+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  4% 3.60M 10s
[2024-12-06T17:52:41.042+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  4% 36.2M 10s
[2024-12-06T17:52:41.046+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  4% 87.0M 9s
[2024-12-06T17:52:41.048+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  5% 9.93M 9s
[2024-12-06T17:52:41.048+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  5% 54.3M 9s
[2024-12-06T17:52:41.050+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  5% 30.1M 9s
[2024-12-06T17:52:41.050+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  5% 52.3M 9s
[2024-12-06T17:52:41.053+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  5%  290M 9s
[2024-12-06T17:52:41.054+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  5%  114M 9s
[2024-12-06T17:52:41.056+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  5% 65.7M 9s
[2024-12-06T17:52:41.058+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  5% 31.6M 8s
[2024-12-06T17:52:41.058+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  5%  302M 8s
[2024-12-06T17:52:41.060+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  5%  109M 8s
[2024-12-06T17:52:41.060+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  5%  123M 8s
[2024-12-06T17:52:41.061+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  5%  267M 8s
[2024-12-06T17:52:41.061+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  6%  184M 8s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  6%  297M 8s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  6%  308M 8s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  6% 85.3M 8s
[2024-12-06T17:52:41.065+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  6%  113M 7s
[2024-12-06T17:52:41.065+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  6%  347M 7s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  6%  177M 7s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  6% 78.4M 7s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  6%  115M 7s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  6%  137M 7s
[2024-12-06T17:52:41.078+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... ..........  6% 2.42M 7s
[2024-12-06T17:52:41.080+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... ..........  6% 29.7M 7s
[2024-12-06T17:52:41.165+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... ..........  7%  589K 8s
[2024-12-06T17:52:41.165+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... ..........  7%  147M 8s
[2024-12-06T17:52:41.165+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... ..........  7%  262M 8s
[2024-12-06T17:52:41.166+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... ..........  7%  238M 8s
[2024-12-06T17:52:41.167+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... ..........  7% 30.4M 8s
[2024-12-06T17:52:41.168+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... ..........  7% 60.8M 8s
[2024-12-06T17:52:41.169+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... ..........  7%  112M 8s
[2024-12-06T17:52:41.169+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... ..........  7% 42.6M 8s
[2024-12-06T17:52:41.170+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... ..........  7% 97.9M 7s
[2024-12-06T17:52:41.170+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... ..........  7%  154M 7s
[2024-12-06T17:52:41.171+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... ..........  7%  263M 7s
[2024-12-06T17:52:41.173+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... ..........  7% 51.9M 7s
[2024-12-06T17:52:41.174+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... ..........  8%  280M 7s
[2024-12-06T17:52:41.174+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... ..........  8%  204M 7s
[2024-12-06T17:52:41.175+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... ..........  8% 73.2M 7s
[2024-12-06T17:52:41.177+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... ..........  8%  144M 7s
[2024-12-06T17:52:41.178+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... ..........  8%  101M 7s
[2024-12-06T17:52:41.179+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... ..........  8%  160M 7s
[2024-12-06T17:52:41.179+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... ..........  8% 27.0M 7s
[2024-12-06T17:52:41.180+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... ..........  8% 43.6M 7s
[2024-12-06T17:52:41.182+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... ..........  8% 31.7M 7s
[2024-12-06T17:52:41.184+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... ..........  8% 84.6M 7s
[2024-12-06T17:52:41.186+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... ..........  8% 44.8M 7s
[2024-12-06T17:52:41.187+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... ..........  8%  220M 6s
[2024-12-06T17:52:41.191+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... ..........  9%  141M 6s
[2024-12-06T17:52:41.196+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... ..........  9% 27.5M 6s
[2024-12-06T17:52:41.197+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... ..........  9%  263M 6s
[2024-12-06T17:52:41.198+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... ..........  9% 31.5M 6s
[2024-12-06T17:52:41.199+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... ..........  9%  179M 6s
[2024-12-06T17:52:41.202+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... ..........  9%  187M 6s
[2024-12-06T17:52:41.205+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... ..........  9% 46.0M 6s
[2024-12-06T17:52:41.210+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... ..........  9%  112M 6s
