[2024-12-06T17:52:39.141+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:39.158+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-06-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.172+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-06-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.173+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:39.189+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-06-02 06:00:00+00:00
[2024-12-06T17:52:39.199+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2404) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:39.202+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-06-02T06:00:00+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpkqzhojei']
[2024-12-06T17:52:39.206+0000] {standard_task_runner.py:105} INFO - Job 58: Subtask wget
[2024-12-06T17:52:39.205+0000] {standard_task_runner.py:72} INFO - Started process 2406 to run task
[2024-12-06T17:52:39.295+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-06-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:39.905+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-06-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-02T06:00:00+00:00'
[2024-12-06T17:52:39.906+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:52:39.914+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:52:39.915+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet -O /opt/***/output_2024-06.parquet']
[2024-12-06T17:52:39.923+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:52:39.930+0000] {subprocess.py:106} INFO - --2024-12-06 17:52:39--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet
[2024-12-06T17:52:39.988+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.173.251.90, 18.173.251.37, 18.173.251.196, ...
[2024-12-06T17:52:40.038+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.173.251.90|:443... connected.
[2024-12-06T17:52:40.590+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:52:40.590+0000] {subprocess.py:106} INFO - Length: 59859922 (57M) [binary/octet-stream]
[2024-12-06T17:52:40.591+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2024-06.parquet’
[2024-12-06T17:52:40.597+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:52:40.712+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  707K 83s
[2024-12-06T17:52:40.783+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  407K 1m53s
[2024-12-06T17:52:40.784+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0%  114M 75s
[2024-12-06T17:52:40.814+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 1.61M 65s
[2024-12-06T17:52:40.831+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 2.91M 56s
[2024-12-06T17:52:40.844+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 3.73M 49s
[2024-12-06T17:52:40.866+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 2.26M 46s
[2024-12-06T17:52:40.878+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 3.96M 42s
[2024-12-06T17:52:40.887+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 5.21M 38s
[2024-12-06T17:52:40.897+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  0% 5.26M 36s
[2024-12-06T17:52:40.904+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  0% 6.83M 33s
[2024-12-06T17:52:40.910+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 8.34M 31s
[2024-12-06T17:52:40.967+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1%  872K 34s
[2024-12-06T17:52:40.970+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 15.8M 31s
[2024-12-06T17:52:40.975+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 9.81M 30s
[2024-12-06T17:52:40.976+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 89.5M 28s
[2024-12-06T17:52:40.977+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1%  149M 26s
[2024-12-06T17:52:40.978+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1%  293M 25s
[2024-12-06T17:52:40.979+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1%  135M 23s
[2024-12-06T17:52:40.980+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  1% 94.1M 22s
[2024-12-06T17:52:40.980+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  1%  127M 21s
[2024-12-06T17:52:40.980+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  1% 85.5M 20s
[2024-12-06T17:52:40.981+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  1% 39.2M 19s
[2024-12-06T17:52:40.981+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2%  154M 19s
[2024-12-06T17:52:41.032+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  969K 20s
[2024-12-06T17:52:41.033+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2%  101M 19s
[2024-12-06T17:52:41.040+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 6.06M 19s
[2024-12-06T17:52:41.047+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 7.19M 19s
[2024-12-06T17:52:41.051+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 9.68M 18s
[2024-12-06T17:52:41.053+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2%  228M 18s
[2024-12-06T17:52:41.056+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  2% 11.0M 17s
[2024-12-06T17:52:41.063+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  2% 7.31M 17s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  2% 53.9M 16s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  2%  248M 16s
[2024-12-06T17:52:41.064+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  2%  301M 15s
[2024-12-06T17:52:41.065+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 82.5M 15s
[2024-12-06T17:52:41.065+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3%  251M 15s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 86.4M 14s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3%  190M 14s
[2024-12-06T17:52:41.066+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  3%  215M 13s
[2024-12-06T17:52:41.067+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  3% 96.5M 13s
[2024-12-06T17:52:41.067+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  3%  286M 13s
[2024-12-06T17:52:41.067+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  3%  264M 12s
