[2024-12-06T17:52:39.393+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:39.411+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-07-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.420+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-07-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:39.421+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:39.898+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-07-02 06:00:00+00:00
[2024-12-06T17:52:39.904+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2405) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:39.905+0000] {standard_task_runner.py:72} INFO - Started process 2410 to run task
[2024-12-06T17:52:39.905+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-07-02T06:00:00+00:00', '--job-id', '60', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp0si87nno']
[2024-12-06T17:52:39.907+0000] {standard_task_runner.py:105} INFO - Job 60: Subtask wget
[2024-12-06T17:52:39.943+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-07-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:39.996+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-07-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-02T06:00:00+00:00'
[2024-12-06T17:52:39.997+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:52:40.007+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:52:40.008+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-07.parquet -O /opt/***/output_2024-07.parquet']
[2024-12-06T17:52:40.017+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:52:40.020+0000] {subprocess.py:106} INFO - --2024-12-06 17:52:40--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-07.parquet
[2024-12-06T17:52:40.032+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.173.251.90, 18.173.251.37, 18.173.251.196, ...
[2024-12-06T17:52:40.072+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.173.251.90|:443... connected.
[2024-12-06T17:52:40.212+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:52:40.212+0000] {subprocess.py:106} INFO - Length: 52299432 (50M) [binary/octet-stream]
