[2024-12-06T17:52:46.426+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:46.435+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:46.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-08-02 06:00:00+00:00
[2024-12-06T17:52:46.449+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:72} INFO - Started process 2461 to run task
[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-08-02T06:00:00+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjodmkcm5']
[2024-12-06T17:52:46.452+0000] {standard_task_runner.py:105} INFO - Job 64: Subtask wget
[2024-12-06T17:52:46.729+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:47.087+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-08-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-02T06:00:00+00:00'
[2024-12-06T17:52:47.088+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:52:47.095+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:52:47.096+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-08.parquet -O /opt/***/output_2024-08.parquet']
[2024-12-06T17:52:47.104+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:52:47.110+0000] {subprocess.py:106} INFO - --2024-12-06 17:52:47--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-08.parquet
[2024-12-06T17:52:47.125+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.173.251.90, 18.173.251.37, 18.173.251.196, ...
[2024-12-06T17:52:47.166+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.173.251.90|:443... connected.
[2024-12-06T17:52:47.716+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:52:47.718+0000] {subprocess.py:106} INFO - Length: 51067350 (49M) [binary/octet-stream]
