[2024-12-06T17:52:49.350+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:49.365+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:49.370+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:49.370+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:49.377+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-09-02 06:00:00+00:00
[2024-12-06T17:52:49.381+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2464) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:49.382+0000] {standard_task_runner.py:72} INFO - Started process 2466 to run task
[2024-12-06T17:52:49.383+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-09-02T06:00:00+00:00', '--job-id', '65', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpimh_yrho']
[2024-12-06T17:52:49.385+0000] {standard_task_runner.py:105} INFO - Job 65: Subtask wget
[2024-12-06T17:52:49.428+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-09-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:49.634+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='LocalIngestionDag_v02' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-09-02T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-09-02T06:00:00+00:00'
[2024-12-06T17:52:49.635+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T17:52:49.642+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T17:52:49.642+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-09.parquet -O /opt/***/output_2024-09.parquet']
[2024-12-06T17:52:49.649+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T17:52:49.652+0000] {subprocess.py:106} INFO - --2024-12-06 17:52:49--  https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-09.parquet
[2024-12-06T17:52:49.664+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.173.251.90, 18.173.251.37, 18.173.251.196, ...
[2024-12-06T17:52:49.714+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.173.251.90|:443... connected.
[2024-12-06T17:52:50.298+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T17:52:50.298+0000] {subprocess.py:106} INFO - Length: 61170186 (58M) [binary/octet-stream]
[2024-12-06T17:52:50.299+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/output_2024-09.parquet’
[2024-12-06T17:52:50.302+0000] {subprocess.py:106} INFO - 
[2024-12-06T17:52:50.369+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  704K 85s
[2024-12-06T17:52:50.433+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  781K 81s
[2024-12-06T17:52:50.485+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  0%  955K 74s
[2024-12-06T17:52:50.507+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  0% 2.19M 62s
[2024-12-06T17:52:50.526+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  0% 2.71M 54s
[2024-12-06T17:52:50.543+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  0% 2.81M 49s
[2024-12-06T17:52:50.557+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  0% 3.37M 44s
[2024-12-06T17:52:50.570+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  0% 3.98M 40s
[2024-12-06T17:52:50.578+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  0% 5.93M 37s
[2024-12-06T17:52:50.586+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  0% 7.40M 34s
[2024-12-06T17:52:50.591+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  0% 7.37M 32s
[2024-12-06T17:52:50.599+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  1% 6.08M 30s
[2024-12-06T17:52:50.605+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  1% 7.86M 28s
[2024-12-06T17:52:50.611+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  1% 8.16M 26s
[2024-12-06T17:52:50.617+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  1% 8.93M 25s
[2024-12-06T17:52:50.622+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  1% 8.90M 24s
[2024-12-06T17:52:50.627+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  1% 9.91M 23s
[2024-12-06T17:52:50.631+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  1% 11.8M 22s
[2024-12-06T17:52:50.636+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  1% 11.2M 21s
[2024-12-06T17:52:50.639+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  1% 13.2M 20s
[2024-12-06T17:52:50.643+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  1% 13.1M 19s
[2024-12-06T17:52:50.647+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  1% 12.8M 19s
[2024-12-06T17:52:50.651+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  1% 12.9M 18s
[2024-12-06T17:52:50.658+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 6.30M 18s
[2024-12-06T17:52:50.663+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 9.70M 17s
[2024-12-06T17:52:50.668+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 9.82M 17s
[2024-12-06T17:52:50.673+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 13.3M 16s
