[2024-12-06T20:34:22.442+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.541+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.595+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.603+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.888+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-02-05 06:00:00+00:00
[2024-12-06T20:34:22.951+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4447) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:22.981+0000] {standard_task_runner.py:72} INFO - Started process 4452 to run task
[2024-12-06T20:34:23.273+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-02-05T06:00:00+00:00', '--job-id', '122', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpxn_t32db']
[2024-12-06T20:34:23.976+0000] {standard_task_runner.py:105} INFO - Job 122: Subtask download_dataset
[2024-12-06T20:34:24.341+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-02-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:24.416+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='homework_dag' AIRFLOW_CTX_TASK_ID='download_dataset' AIRFLOW_CTX_EXECUTION_DATE='2021-02-05T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-02-05T06:00:00+00:00'
[2024-12-06T20:34:24.418+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:34:24.442+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:34:24.444+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-02.parquet -O /opt/***/fhv_tripdata_2021-02.parquet']
[2024-12-06T20:34:24.454+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:34:24.458+0000] {subprocess.py:106} INFO - --2024-12-06 20:34:24--  https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-02.parquet
[2024-12-06T20:34:24.536+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.225, 18.154.99.220, ...
[2024-12-06T20:34:24.556+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T20:34:25.069+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:34:25.070+0000] {subprocess.py:106} INFO - Length: 10645466 (10M) [binary/octet-stream]
[2024-12-06T20:34:25.070+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/fhv_tripdata_2021-02.parquet’
[2024-12-06T20:34:25.070+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:34:25.188+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  823K 13s
[2024-12-06T20:34:25.192+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  808K 13s
[2024-12-06T20:34:25.246+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  1%  920K 12s
[2024-12-06T20:34:25.250+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  1% 10.8M 9s
[2024-12-06T20:34:25.255+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  2% 10.5M 8s
[2024-12-06T20:34:25.269+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  2% 3.40M 7s
[2024-12-06T20:34:25.306+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  3% 1.35M 7s
[2024-12-06T20:34:25.309+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  3% 16.8M 6s
[2024-12-06T20:34:25.312+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  4% 21.2M 5s
[2024-12-06T20:34:25.314+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  4% 14.3M 5s
[2024-12-06T20:34:25.316+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  5% 43.2M 4s
[2024-12-06T20:34:25.316+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  5% 69.6M 4s
[2024-12-06T20:34:25.364+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  6% 1.02M 4s
[2024-12-06T20:34:25.365+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  6% 82.4M 4s
[2024-12-06T20:34:25.365+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  7% 76.2M 4s
[2024-12-06T20:34:25.366+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  7% 98.8M 4s
[2024-12-06T20:34:25.366+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  8% 85.9M 3s
[2024-12-06T20:34:25.367+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  8% 58.0M 3s
[2024-12-06T20:34:25.368+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  9% 91.1M 3s
[2024-12-06T20:34:25.368+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  9% 98.3M 3s
[2024-12-06T20:34:25.369+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... .......... 10% 60.8M 3s
[2024-12-06T20:34:25.370+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... .......... 10% 90.3M 3s
[2024-12-06T20:34:25.370+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... .......... 11% 74.0M 2s
[2024-12-06T20:34:25.397+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... .......... 11% 1.79M 3s
[2024-12-06T20:34:25.409+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... .......... 12% 4.26M 2s
[2024-12-06T20:34:25.421+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... .......... 12% 3.92M 2s
[2024-12-06T20:34:25.425+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... .......... 12% 13.9M 2s
[2024-12-06T20:34:25.429+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... .......... 13% 32.1M 2s
[2024-12-06T20:34:25.430+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... .......... 13% 19.4M 2s
[2024-12-06T20:34:25.431+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... .......... 14% 44.0M 2s
[2024-12-06T20:34:25.432+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... .......... 14% 27.1M 2s
