[2024-12-06T20:34:22.533+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.688+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.788+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.827+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.973+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-03-05 06:00:00+00:00
[2024-12-06T20:34:23.400+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4445) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:23.763+0000] {standard_task_runner.py:72} INFO - Started process 4454 to run task
[2024-12-06T20:34:23.770+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-03-05T06:00:00+00:00', '--job-id', '124', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpcsqlg1r6']
[2024-12-06T20:34:23.935+0000] {standard_task_runner.py:105} INFO - Job 124: Subtask download_dataset
[2024-12-06T20:34:24.314+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-03-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:24.409+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='homework_dag' AIRFLOW_CTX_TASK_ID='download_dataset' AIRFLOW_CTX_EXECUTION_DATE='2021-03-05T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-03-05T06:00:00+00:00'
[2024-12-06T20:34:24.412+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:34:24.428+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:34:24.430+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-03.parquet -O /opt/***/fhv_tripdata_2021-03.parquet']
[2024-12-06T20:34:24.450+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:34:24.457+0000] {subprocess.py:106} INFO - --2024-12-06 20:34:24--  https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-03.parquet
[2024-12-06T20:34:24.537+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.225, 18.154.99.220, ...
[2024-12-06T20:34:24.556+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T20:34:25.091+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:34:25.092+0000] {subprocess.py:106} INFO - Length: 13167110 (13M) [binary/octet-stream]
[2024-12-06T20:34:25.092+0000] {subprocess.py:106} INFO - Saving to: ‘/opt/***/fhv_tripdata_2021-03.parquet’
[2024-12-06T20:34:25.092+0000] {subprocess.py:106} INFO - 
[2024-12-06T20:34:25.211+0000] {subprocess.py:106} INFO -      0K .......... .......... .......... .......... ..........  0%  804K 16s
[2024-12-06T20:34:25.215+0000] {subprocess.py:106} INFO -     50K .......... .......... .......... .......... ..........  0%  804K 16s
[2024-12-06T20:34:25.289+0000] {subprocess.py:106} INFO -    100K .......... .......... .......... .......... ..........  1%  676K 17s
[2024-12-06T20:34:25.294+0000] {subprocess.py:106} INFO -    150K .......... .......... .......... .......... ..........  1% 18.7M 13s
[2024-12-06T20:34:25.294+0000] {subprocess.py:106} INFO -    200K .......... .......... .......... .......... ..........  1% 44.5M 10s
[2024-12-06T20:34:25.346+0000] {subprocess.py:106} INFO -    250K .......... .......... .......... .......... ..........  2%  952K 11s
[2024-12-06T20:34:25.351+0000] {subprocess.py:106} INFO -    300K .......... .......... .......... .......... ..........  2% 86.5M 9s
[2024-12-06T20:34:25.351+0000] {subprocess.py:106} INFO -    350K .......... .......... .......... .......... ..........  3%  184M 8s
[2024-12-06T20:34:25.351+0000] {subprocess.py:106} INFO -    400K .......... .......... .......... .......... ..........  3% 99.8M 7s
[2024-12-06T20:34:25.352+0000] {subprocess.py:106} INFO -    450K .......... .......... .......... .......... ..........  3% 33.7M 6s
[2024-12-06T20:34:25.352+0000] {subprocess.py:106} INFO -    500K .......... .......... .......... .......... ..........  4% 21.5M 6s
[2024-12-06T20:34:25.391+0000] {subprocess.py:106} INFO -    550K .......... .......... .......... .......... ..........  4% 1.20M 6s
[2024-12-06T20:34:25.392+0000] {subprocess.py:106} INFO -    600K .......... .......... .......... .......... ..........  5% 43.1M 6s
[2024-12-06T20:34:25.419+0000] {subprocess.py:106} INFO -    650K .......... .......... .......... .......... ..........  5% 1.82M 6s
[2024-12-06T20:34:25.421+0000] {subprocess.py:106} INFO -    700K .......... .......... .......... .......... ..........  5% 30.7M 5s
[2024-12-06T20:34:25.422+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  6% 34.5M 5s
[2024-12-06T20:34:25.424+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  6% 55.4M 5s
[2024-12-06T20:34:25.429+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  6% 39.6M 4s
[2024-12-06T20:34:25.430+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  7% 41.5M 4s
[2024-12-06T20:34:25.430+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  7% 27.1M 4s
[2024-12-06T20:34:25.431+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  8% 18.4M 4s
[2024-12-06T20:34:25.432+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  8% 25.9M 4s
[2024-12-06T20:34:25.433+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  8% 46.4M 3s
[2024-12-06T20:34:25.505+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  9% 7.04M 3s
[2024-12-06T20:34:25.507+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  9%  754K 4s
[2024-12-06T20:34:25.510+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... .......... 10%  117M 4s
[2024-12-06T20:34:25.514+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... .......... 10% 40.7M 4s
