[2024-12-06T20:34:22.452+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:34:22.529+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.553+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [queued]>
[2024-12-06T20:34:22.557+0000] {taskinstance.py:2866} INFO - Starting attempt 6 of 6
[2024-12-06T20:34:22.665+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): download_dataset> on 2021-04-05 06:00:00+00:00
[2024-12-06T20:34:22.806+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4446) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:34:22.877+0000] {standard_task_runner.py:72} INFO - Started process 4448 to run task
[2024-12-06T20:34:22.815+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'homework_dag', 'download_dataset', 'scheduled__2021-04-05T06:00:00+00:00', '--job-id', '121', '--raw', '--subdir', 'DAGS_FOLDER/homework_dag.py', '--cfg-path', '/tmp/tmpcvgx3n14']
[2024-12-06T20:34:22.885+0000] {standard_task_runner.py:105} INFO - Job 121: Subtask download_dataset
[2024-12-06T20:34:24.296+0000] {task_command.py:467} INFO - Running <TaskInstance: homework_dag.download_dataset scheduled__2021-04-05T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:34:24.396+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='homework_dag' AIRFLOW_CTX_TASK_ID='download_dataset' AIRFLOW_CTX_EXECUTION_DATE='2021-04-05T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-04-05T06:00:00+00:00'
[2024-12-06T20:34:24.401+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T20:34:24.424+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2024-12-06T20:34:24.426+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'wget https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-04.parquet -O /opt/***/fhv_tripdata_2021-04.parquet']
[2024-12-06T20:34:24.449+0000] {subprocess.py:99} INFO - Output:
[2024-12-06T20:34:24.458+0000] {subprocess.py:106} INFO - --2024-12-06 20:34:24--  https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-04.parquet
[2024-12-06T20:34:24.537+0000] {subprocess.py:106} INFO - Resolving d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)... 18.154.99.47, 18.154.99.225, 18.154.99.220, ...
[2024-12-06T20:34:24.556+0000] {subprocess.py:106} INFO - Connecting to d37ci6vzurychx.cloudfront.net (d37ci6vzurychx.cloudfront.net)|18.154.99.47|:443... connected.
[2024-12-06T20:34:25.030+0000] {subprocess.py:106} INFO - HTTP request sent, awaiting response... 200 OK
[2024-12-06T20:34:25.030+0000] {subprocess.py:106} INFO - Length: 12857489 (12M) [binary/octet-stream]
